Word,Count
Python,1
T,6
o,26
t,20
a,69
l,12
M,6
r,21
k,13
s,24
:,7
1,13
0,18
E,9
c,9
h,7
q,6
u,12
e,19
i,19
n,20
m,7
Question1:-,1
"Writeaprogramthattakesastringasinput,andcountsthefrequencyofeachwordinthestring,theremightberepeatedcharactersinthestring.Yourtaskistofindthehighestfrequencyandreturnsthelengthofthehighest-frequencyword.",1
Note-Youhavetowriteatleast2additionaltestcasesinwhichyourprogramwillrunsuccessfullyandprovideanexplanationforthesame.,2
Exampleinput-string=“writewritewriteallthenumberfromfromfrom1to100”,1
Exampleoutput-5,1
Explanation-Fromthegivenstringwecannotethatthemostfrequentwordsare“write”and“from”andthemaximumvalueofboththevaluesis“write”anditscorrespondinglengthis5,1
Question2:-,1
"Considerastringtobevalidifallcharactersofthestringappearthesamenumberoftimes.Itisalsovalidifhecanremovejustonecharacterattheindexinthestring,andtheremainingcharacterswilloccurthesame",1
"numberoftimes.Givenastring,determineifitisvalid.Ifso,return",1
"YES,otherwisereturn",1
NO.,1
"Exampleinput1-s=“abc”.Thisisavalidstringbecausefrequenciesare{“a”:1,“b”:1,“c”:1}",1
Exampleoutput1-YES,1
"Exampleinput2-s“abcc”.Thisstringisnotvalidaswecanremoveonly1occurrenceof“c”.Thatleavescharacterfrequenciesof{“a”:1,“b”:1,“c”:2}",1
Exampleoutput2-NO,1
Question3:-,1
"Writeaprogram,whichwoulddownloadthedatafromtheprovidedlink,andthenreadthedataandconvertthatintoproperlystructureddataandreturnitinExcelformat.",1
Note-Writecommentswherevernecessaryexplainingthecodewritten.Link-https://raw.githubusercontent.com/Biuni/PokemonGO-Pokedex/master/pokedex.json,1
DataAttributes-id:IdentificationNumber-intnum:Numberofthe,1
●PokémonintheofficialPokédex-intname:Pokémonname-,1
●stringimg:URLtoanimageofthisPokémon-stringtype:,1
●Pokémontype-stringheight:Pokémonheight-float,1
●weight:Pokémonweight-floatcandy:typeofcandyusedtoevolvePokémonor,1
given,2
●whentransferred-stringcandy_count:theamountofcandiesrequiredtoevolve,1
-int,1
●egg:Numberofkilometerstotraveltohatchtheegg-floatspawn_chance:,1
●Percentageofspawnchance(NEW)-floatavg_spawns:Numberofthis,1
pokemonon10.000spawns(NEW)-int,1
●spawn_time:Spawnsmostactiveatthetimeonthisfield.Spawntimesarethesameforall,1
timezonesandareexpressedinlocaltime.(NEW)-“minutes:seconds”multipliers:,1
MultiplierofCombatPower(CP)forcalculatingtheCPafterevolutionSeebelow-listofint,1
weakness:Typesof,1
●PokémonthisPokémonisweakto-listofstringsnext_evolution:NumberandNameof,1
successiveevolutionsofPokémon-listofdictprev_evolution:NumberandNameofprevious,1
evolutionsofPokémon--listofdict,1
Question4-,1
WriteaprogramtodownloadthedatafromthelinkgivenbelowandthenreadthedataandconverttheintotheproperstructureandreturnitasaCSVfile.,1
Link-https://data.nasa.gov/resource/y77d-th95.json,1
Note-Writecodecommentswhereverneededforcodeunderstanding.SampleData-,1
ExceptedOutputDataAttributes,1
●NameofEarthMeteorite-stringid-IDofEarth,1
●Meteorite-intnametype-stringrecclass-string,1
●mass-MassofEarthMeteorite-floatyear-YearatwhichEarth,1
●Meteoritewashit-datetimeformatreclat-floatrecclong-float,1
●pointcoordinates-listofint,1
Question5-,2
WriteaprogramtodownloadthedatafromthegivenAPIlinkandthenextractthefollowingdatawithproperformatting,1
Link-http://api.tvmaze.com/singlesearch/shows?q=westworld&embed=episodes,1
Note-Writepropercodecommentswhereverneededforthecodeunderstanding,1
SampleData-,1
ExceptedOutputDataAttributes-,1
●id-inturl-string,1
●name-stringseason,1
●-intnumber-int,1
●type-stringairdate-,1
●dateformatairtime-,1
●12-hourtimeformat,1
●runtime-float,1
●averagerating-float,1
●summary-string,1
●withouthtmltags,1
●mediumimagelink-string,1
●Originalimagelink-string,1
Question6-,1
"UsingthedatafromQuestion3,writecodetoanalyzethedataandanswerthefollowingquestionsNote1.",1
Drawplotstodemonstratetheanalysisforthefollowingquestionsforbettervisualizations.,1
2.Writecodecommentswhereverrequiredforcodeunderstanding,3
Insightstobedrawn-,4
●GetallPokemonswhosespawnrateislessthan5%,1
●GetallPokemonsthathavelessthan4weaknesses,1
●GetallPokemonsthathavenomultipliersatall,1
●GetallPokemonsthatdonothavemorethan2evolutions,1
●GetallPokemonswhosespawntimeislessthan300seconds.,1
"Note-spawntimeformatis""05:32”,soassume“minute:second”formatandperformtheanalysis.",1
●GetallPokemonwhohavemorethantwotypesofcapabilities,1
Question7-,1
"UsingthedatafromQuestion4,writecodetoanalyzethedataandanswerthefollowingquestionsNote-",1
1.Drawplotstodemonstratetheanalysisforthefollowingquestionsforbettervisualizations,1
●GetalltheEarthmeteoritesthatfellbeforetheyear2000,1
●Getalltheearthmeteoritesco-ordinateswhofellbeforetheyear1970,1
"●Assumingthatthemassoftheearthmeteoriteswasinkg,getallthosewhosemasswasmorethan10000kgQuestion8-",1
"UsingthedatafromQuestion5,writecodetheanalyzethedataandanswerthefollowingquestionsNote-",1
1.Drawplotstodemonstratetheanalysisforthefollowingquestionsandbettervisualizations,1
"●Getalltheoverallratingsforeachseasonandusingplotscomparetheratingsforalltheseasons,likeseason1ratings,season2,andsoon.",1
"●Getalltheepisodenames,whoseaverageratingismorethan8foreveryseason",1
●GetalltheepisodenamesthatairedbeforeMay2019,1
●Gettheepisodenamefromeachseasonwiththehighestandlowestrating,1
●Getthesummaryforthemostpopular(ratings)episodeineveryseason,1
Question9-,1
"Writeaprogramtoreadthedatafromthefollowinglink,performdataanalysisandanswerthefollowingquestions",1
Note-,2
1.Writecodecommentswhereverrequiredforcodeunderstanding,1
Link-https://data.wa.gov/api/views/f6w7-q2d2/rows.csv?accessType=DOWNLOAD,1
●Getallthecarsandtheirtypesthatdonotqualifyforcleanalternativefuelvehicle,1
"●GetallTESLAcarswiththemodelyear,andmodeltypemadeinBothellCity.",1
"●Getallthecarsthathaveanelectricrangeofmorethan100,andweremadeafter",1
2015,1
●Drawplotstoshowthedistributionbetweencityandelectricvehicletype,1
Question10-,1
"Writeaprogramtocountthenumberofverbs,nouns,pronouns,andadjectivesinagivenparticularphraseorparagraph,andreturntheirrespectivecountasadictionary.",1
1.Writecodecommentswhereverrequiredforcode,1
2.Youhavetowriteatleast2additionaltestcasesinwhichyourprogramwillrunsuccessfullyandprovideanexplanationforthesame.ExampleOutput-,1
Statistics,1
2,11
Q,10
-,13
.,17
A,11
university,1
wants,3
to,16
understand,1
the,73
relationship,2
between,8
SAT,4
scores,7
of,44
its,3
applicants,1
and,35
their,5
college,4
GPA.,1
They,5
collect,1
data,6
on,10
500,2
"students,",1
including,1
(out,1
1600),1
GPA,2
(on,1
4.0,1
scale).,1
find,1
that,11
correlation,4
coefficient,4
is,22
0.7.,1
What,7
does,1
this,4
indicate,1
about,1
GPA?,1
Consider,2
dataset,6
containing,1
heights,3
(in,1
centimeters),1
1000,1
individuals.,1
The,12
mean,8
height,4
170,1
cm,2
with,6
standard,6
deviation,6
10,3
cm.,1
approximately,2
normally,2
"distributed,",1
skewness,2
zero.,1
Based,2
"information,",1
answer,2
following,2
questions:,1
a.,6
percentage,1
individuals,2
in,14
have,7
160,1
180,1
cm?,3
b.,6
If,5
we,1
randomly,2
select,1
100,2
from,3
"dataset,",1
what,3
probability,7
average,1
greater,1
than,1
175,1
c.,5
Assuming,1
follows,2
normal,2
"distribution,",1
z-score,1
corresponding,2
185,1
d.,4
We,1
know,2
5%,2
has,5
below,2
certain,2
value.,1
approximate,1
threshold?,1
e.,2
Calculate,5
variation,1
(CV),1
for,10
dataset.,1
f.,1
interpret,3
result.,1
3,2
‘Blood,2
Pressure,2
Before’,1
After’,1
columns,1
calculate,1
https://drive.google.com/file/d/1mCjtYHiX--mMUjicuaP2gH3k-SnFxt8Y/view?usp=share_,2
Measure,1
dispersion,1
both,2
results.,2
confidence,1
interval,1
plot,1
it,5
graph,1
Mean,1
absolute,1
Standard,2
check,1
significance,2
at,4
1%,1
level,2
significance.,1
4,1
group,2
20,3
friends,1
decide,1
play,1
game,1
which,3
they,1
each,3
write,2
number,2
slip,3
paper,3
put,1
into,2
hat.,1
then,2
draw,1
one,1
random.,1
perfect,1
square,1
"(i.e.,",1
"1,",1
"4,",1
"9,",1
or,3
16)?Q,1
5,3
city,1
two,4
taxi,2
companies:,1
Company,5
80%,1
taxis,3
B,3
20%,1
taxis.,1
A's,1
95%,1
success,2
rate,1
picking,1
up,1
passengers,1
"time,",1
while,2
B's,1
90%,1
rate.,1
selected,1
"late,",1
belongs,1
A?,1
6,2
pharmaceutical,2
company,5
developing,1
drug,3
supposed,1
reduce,1
blood,3
pressure.,1
conduct,2
clinical,1
trial,1
patients,2
record,1
pressure,2
before,2
after,3
taking,1
drug.,2
if,2
change,1
distribution.,1
7,1
equations,1
lines,1
"regression,",1
obtained,1
analysis,1
variables,1
X,2
Y,5
are,10
as,3
follows:,1
𝑋,2
+,2
−,2
8,2
=,2
𝑌,1
variance,1
of𝑋=4,1
Find,1
Variance,1
Coefficient,1
determination,1
C,1
error,1
estimate,1
X.,1
anxiety,2
levels,1
participants,1
were,1
measured,1
new,3
therapy.,1
not,1
distributed.,1
Use,2
Wilcoxon,1
signed-rank,1
test,2
whether,3
therapy,3
had,1
significant,2
effect,1
levels.,1
below:,1
Participant,1
Before,1
After,1
DifferenceQ,1
9,1
Given,2
score,4
students,2
multiple,1
exams,1
Test,1
hypothesis,2
all,5
same.,1
"not,",1
name,1
student,1
highest,1
score.,1
factory,2
produces,2
light,2
"bulbs,",1
bulb,1
being,1
defective,2
0.05.,2
large,1
batch,2
bulbs.,1
exactly,1
bulbs,4
defective?,3
least,1
max,1
15,1
On,1
"average,",1
how,1
many,1
would,2
you,7
expect,1
500?,1
feature,1
contributing,1
different,1
classes,2
https://drive.google.com/file/d/1mCjtYHiX--mMUjicuaP2gH3k-SnFxt8Y/view?usp,1
=share_,1
Check,3
distribution,1
same,2
not.,2
equality,2
variance/,1
Which,1
amount,1
LDA,1
QDA,1
perform,1
better,1
classification,1
why.,1
classes.,1
develops,1
compare,1
effectiveness,1
against,1
treating,1
particular,1
condition.,1
study,1
groups:,1
Group,4
receives,2
"drug,",1
measures,1
improvement,6
specific,1
symptom,1
groups,1
4-week,1
treatment,1
period.,1
collects,1
30,1
calculates,1
group.,1
2.5,1
"0.8,",1
2.2,1
0.6.,1
Conduct,1
t-test,2
determine,1
there,1
difference,1
groups.,1
"results,",1
state,1
null,1
should,1
be,1
rejected,1
Provide,1
conclusion,1
context,1
study.,1
Machinelearning,1
INTERMEDIA,1
TEQUESTIONS:,1
"Q-1.ImagineyouhaveadatasetwhereyouhavedifferentInstagramfeatureslikeusername,Caption,Hashtag,Followers,Time_Since_posted,andlikes,nowyourtaskistopredictthenumberoflikesandTimeSincepostedandtherestofthefeaturesareyourinputfeatures.NowyouhavetobuildamodelwhichcanpredictthenumberoflikesandTimeSinceposted.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.",1
"Q-2.ImagineyouhaveadatasetwhereyouhavedifferentfeatureslikeAge,Gender,Height,Weight,BMI,andBloodPressureandyouhavetoclassifythepeopleintodifferentclasseslikeNormal,Overweight,Obesity,Underweight,andExtremeObesitybyusingany4differentclassificationalgorithms.Nowyouhavetobuildamodelwhichcanclassifypeopleintodifferentclasses.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.",1
"Q-3.Imagineyouhaveadatasetwhereyouhavedifferentcategoriesofdata,Nowyouneedtofindthemostsimilardatatothegivendatabyusingany4differentsimilarityalgorithms.Nowyouhavetobuildamodelwhichcanfindthemostsimilardatatothegivendata.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.",1
Q-4.ImagineyouworkingasasalemanagernowyouneedtopredicttheRevenueandwhetherthatparticularrevenueisontheweekendornotandfindthe,1
Informational_DurationusingtheEnsemblelearningalgorithmDatasetThisistheDatasetYoucanusethisdatasetforthisquestion.,1
"Q-5.Uberisataxiserviceproviderasweknow,weneedtopredictthehighbookingareausinganUnsuper",1
visedalgorithmandpriceforthelocationusingasupervisedalgorithmandusesomemapfunctiontodisplaythedataDatasetThisistheDatasetYoucanusethisdatasetforthisquestion.,1
Q-6.ImagineyouhaveadatasetwhereyouhavepredictedloanEligibilityusingany4differentclassificationalgorithms.NowyouhavetobuildamodelwhichcanpredictloanEligibilityandyouneedtofindtheaccuracyofthemodelandbuilt-indockerandusesomelibrarytodisplaythatinfrontendDatasetThisistheDatasetYoucanusethisdatasetforthisquestion.,1
Q-7.ImagineyouhaveadatasetwhereyouneedtopredicttheGenresofMusic,1
using,1
anUnsuper,1
"visedalgorithmandyouneedtofindtheaccuracyofthemodel,built-indocker,andusesomelibrarytodisplaythatinfrontendDatasetThisistheDatasetYoucanusethisdatasetforthisquestion.",1
Q-8.Quoraquestionpairsimilarity,1
",youneedtofindtheSimilaritybetweentwoquestionsbymappingthewordsinthequestionsusingTF-IDF,andusingasupervisedAlgorithmyouneedtofindthesimilaritybetweenthequestions.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.",1
"Q-9.AcybersecurityagentwantstochecktheMicrosoftMalwaresoneedhecametoyouasaMachinelearningEngineeringwithData,YouneedtofindtheMalwareusingasupervisedalgorithmandyouneedtofindtheaccuracyofthemodel.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.",1
1.AnAd-Agencyanalyzedadatasetofonlineadsandusedamachinelearningmodeltopredictwhetherauserwouldclickonanadornot.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.,1
AdvanceQUESTIONS:,1
Q-1.ASocialMediaInfluencercollecteddataonFacebookfriendrequestsandusedasupervisedalgorithmtopredictwhetherauserwouldacceptafriendrequestornot.DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.Note:UseonlyDaskandUseMLflow,1
"Q-2.Achemisthadtwochemicalflaskslabeled0and1whichconsistoftwodifferentchemicals.Heextracted3featuresfromthesechemicalsinordertodistinguishbetweenthem,youprovidedtheresultsderivedbythechemicalsandyourtaskistocreateamodelthatwilllabelchemical0or1givenitsthreefeaturesandbuilt-indockerandusesomelibrarytodisplaythatinfrontend.Note:Useonlypyspark",1
DatasetThisistheDatasetYoucanusethisdatasetforthisquestion.,1
Q-3.Acompanywantstopredictthesalesofitsproductbasedonthemoneyspentondifferentplatformsformarketing.Theywantyoutofigureouthowtheycanspendmoneyonmarketinginthefutureinsuchawaythattheycanincreasetheirprofitasmuchaspossiblebuilt-indockerandusesomelibrarytodisplaythatinfrontendDatasetThisistheDatasetYoucanusethisdatasetforthisquestion.Note:UseonlyDask,1
Q-4.Takeany3questionsanddeploythemtoAWSusingGitHubActionsandshowademolink,1
Q-5.Takeany3questionsanddeploythemtoAWSusingCircle-CIandshowademolinkDeepLearning,1
Question1-Implemen,1
t3differentCNNarchitectureswithacomparisontablefortheMNSITdatasetusingtheTensorflo,1
wlibrary.Note-1.Themodelparametersforeacharchitectureshouldnotbemorethan8000parameters2.Codecommentsshouldbegivenforpropercodeunderstanding.3.Theminimumaccuracyforeachaccuracyshouldbeatleast96%,1
Question2-Implemen,1
t5differentCNNarchitectureswithacomparisontableforCIFAR10datasetusingthePyTorchlibraryNote-1.Themodelparametersforeacharchitectureshouldnotbemorethan10000parameters,1
2Codecommentsshouldbegivenforpropercodeunderstanding,1
Question3-TrainaPureCNNwithlessthan10000trainableparametersusingtheMNISTDatasethavingminimumvalidationaccuracyof99.40%Note-1.Codecommentsshouldbegivenforpropercodeunderstanding.2.Implemen,1
tinbothPyTorchandTensorflo,1
wrespectiv,1
ely,1
Question4-Designanend-to-endsolutionwithdiagramsforobjectdetectionusecasesleveragingAWScloudservicesandopen-sour,1
cetechNote-1.YouneedtousebothAWScloudservicesandopen-sour,1
"cetechtodesigntheentiresolution2.Thepipelineshouldconsistofadatapipeline,mlpipeline,deploymentpipeline,andinferencepipeline.3.Inthedatapipeline,youwouldbedesigninghowtogetthedatafromexternalorexistingsourcesandtechusedforthesame4.Inthemlpipeline,youwouldbedesigninghowtotrainthemodel,andwhatallalgorithms,techniques,etc.wouldyoubeusing.Again,techusedforthesame5.Sincethisisadeeplearningproject,theuseofGPUs,andhoweffectivelyareyouusingthemtooptimizeforcostandtrainingtimeshouldalsobetakenintoconsideration.6.Inthedeploymentpipeline,youwouldbedesigninghoweffectivelyandefficientlyyouaredeployingthemodelinthecloud,7.Intheinferencepipeline,considerthecostofinferenceanditsoptimization",1
"relatedtocomputingresourcesandhandlingexternaltraffic8.Youcanuseanytooltodesignthearchitecture9.Domentiontheprosandconsofyourarchitectureandhowmuchfurtheritcanbeoptimizedanditstradeoffs.10.Doincludearetrainingapproachaswell.11.TrytoincludemanagedAWSresourcesfordeeplearninglikeAWSTextract,AWSSagemaker,etc.,andnotjustgeneral-purposecomputeresourceslikeS3,EC2,etc.Trytomixthebestofbothservices",1
"InQuestion4,youhavedesignedthearchitectureforanobjectdetectionusecaseleveragingAWSCloud,similarly",1
",hereyouwillbedesigningforDocumen",1
tClassific,1
"ationusecaseleveragingAzureCloudservices.Note-1.MostofthepointsarethesameasinQuestion4,justcloudserviceswillchangeComput",1
erVision,1
Question1-Trainadeeplearningmodelwhichwouldclassifythevegetablesbasedontheimagesprovided.Thedatasetcanbeaccessedfromthegivenlink.,1
Link-https://www.kaggle.com/datasets/misrakahmed/v,1
egetable-imag,1
e-dataset,1
Note-1.UsePyTorchastheframeworkfortrainingmodel2.UseDistributedParallelTrainingtechniquetooptimizetrainingtime.3.Achieveanaccuracyofatleast85%onthevalidationdataset.4.Usealbumen,1
tationslibraryforimagetransformation5.UseTensorBoar,1
dloggingforvisualizingtrainingperformance6.UsecustommodularPythonscriptstotrainmodel7.OnlyJupyternotebookswillnotbeallowed8.Writecodecommentswhereverneededforunderstanding,1
"Question2-FromQuestion1,youwouldgetatrainedmodelwhichwouldclassifythevegetablesbasedontheclasses.YouneedtoconvertthetrainedmodeltoONNXformatandachievefasterinferenceNote-1.Thereisnosetinferencetime,buttrytoachieveaslowaninferencetimeaspossible2.Createawebapptointeractwiththemodel,wheretheusercanuploadtheimageandgetpredictions3.Trytoreducethemodelsizeconsiderablysothatinferencetimecanbefaster4.UsemodularPythonscriptstotrainandinferthemodel5.OnlyJupyternotebookswillnotbeallowed6.WritecodecommentswheneverneededforunderstandingQuestion3-Scraptheimagesfrompopulare-commercewebsitesforvariousproductimagessoldonthosewebsites.Yourgoalistofetchtheimagesfromthewebsite,createcategoriesofdifferentproductclassesandtrainadeeplearningmodeltoclassifythesamebasedontheuserinput.Note-1.YoucanuseanyframeworkofyourchoicelikeTensorFlo",1
"worPyTorch2.Youhavetonotuseanypre-trainedmodel,butinsteadcreateyourowncustomarchitectureandthentrainthemodel.3.Writecodecommentswhereverneededforunderstanding4.Trytouselittlebigdatasetsothatmodelcanbegeneralized5.WritemodularPythonscriptstotrainandinferthemodel6.OnlyJupyterNotebookwillbenotallowed7.Writecodecommentswhereverneededforcodeunderstanding",1
Question4-YouhavetotrainacustomYOLOV7modelonthedatasetwhichislinkedbelow.Yourgoalistodetectdifferentproductsbasedonthegivenclassesbasedontheuserinput,1
Link-https://drive.google.com/file/d/1MEgD,1
YJwO_PVVfAbyfjaRHXt7qoiBBHY,1
t/view?usp=shar,1
e_link,1
Note-1.YouhavetousePyTorchimplemen,1
"tationofYOLOV72.Thedatasetconsistsof102classeswithtrain,validation,andtestimagesalreadyintherespectiv",1
"efolders.3.Labelingisalreadydone,givenwiththedataset,soneedforannotation4.Sincethedatasetissmall,trytoachieveatleastanmAPof855.WritemodularPythonscriptstotrainthemodel6.WritecodecommentswhereverneededforunderstandingComputerVisionAssessmentiNeuron37.OnlyJupyterNotebookwillnotbeallowed",1
"Question5-FromQuestion4,youwouldhaveacustom-trainedYOLOmodel.YourgoalistoneedtoconvertthemodeltoONNXformatandreducetheinferencetime.",1
"Note-1.Reducetheinferencetimetoasmuchaspossible2.TrytoreducethemodelsizebyusingtechniqueslikeQuantization,etc3.Createawebappforuserstointeractwithyourmodelwhereuserscanuploadimagesandgetpredictions.4.WritemodularPythonscriptstoinferthemodel.5.OnlyJupyternotebooksarenotallowed.6.Writecodecommentswhereverneededforcodeunderstanding",1
Question6-Youhavetotrainacustomsegmen,1
tationmodelbasedonDetectron2framework.Yourgoalistosegmen,1
tthegivenimagesbasedontheuserinputintothedifferentclasses,1
Link-https://www.kaggle.com/competitions/open-imag,1
es-2019-ins,1
tance-segmen,1
tation/data,1
"Note-1.Forthis,onlytheJupyterNotebookisfine2.LabelsareinCOCOformat.3.Writecodecommentswhereverneededforunderstanding",1
"Question7-FromQuestion6,youwouldhavecustomtrainedsegmen",1
tationmodel.Yourgoalistoreducethemodelinferencetime,1
Note-1.Reduceinferencetimetoasmuchaspossible2.Createawebappforuserstointeractwithyourmodelwheretheycanuploadimagesandgetpredictions3.Writecodecommentswhereverneededforcodeunderstanding.,1
Question8-YouhavetotrainacustomobjectdetectionmodelbasedonDETR(DetectionTransformer),1
Link-https://www.kaggle.com/datasets/andrewmvd/helme,1
t-detection,1
Note-1.YouneedtouseHuggingFacePyTorchastheframework2.Thedatasetisaboutdetectingfootballplayersfromtheimagesprovided3.DataAnnotationsarealreadyinCOCOformat.4.WritecustomPythonscriptsfortraining.5.Writecodecommentswhereverneededforcodeunderstanding6.OnlyJupyterNotebooksarenotallowed,1
"Question9-FromQuestion8,youwouldhaveacustomobjectdetectionmodelNote-1.Trytoreducethemodelsizeusingquantization2.Createawebappwheretheuserscaninteractwithyourmodel3.WritemodularPythonscriptformodelinference4.OnlyJupyterNotebooksarenotallowed5.Writecodecommentswhereverneededforcodeunderstanding",1
"Question10-Fromallthequestionsfrom1to9,takeanyimageclassificationmodel,objectmodeldetectionmodel,andimagesegmen",1
"tationmodelanddeployitinthecloudNote-1.Deploymentofall3differentmodelsshouldbeAWS,Azure,andGCP2.Avideodemooftheapplicationworkinginthecloudshouldbegoodenough3.Containerizationofall3applicationsisimportantandshouldbepushedtoDockerHubComputerVisionAssessmentiNeuron54.CI-CDpipelinesusingGitHubactionsthatwoulddeploythemodelsinall3cloudsaremandatory.NaturalLanguag",1
eProcessing,1
Q-1.TakeanyYouTubevideoslinkandyourtaskistoextractthecommentsfromthatvideosandstoreitinacsvfileandthenyouneeddefinewhatismostdemandingtopicinthatvideoscommentsection.,1
Q-2.Takeanypdfandyourtaskistoextractthetextfromthatpdfandstoreitinacsvfileandthenyouneedtofindthemostrepeatedwordinthatpdf.,1
"Q-3.fromquestion2,AsyougottheCSVandnowyouneedperformkeywordextractionfromthatcsvfileanddotheTopicmodeling",1
Q-4.TakeanytextfileandnowyourtaskistoTextSummariz,1
ationwithoutusinghuggingtransformerlibrary,1
Q-5.Nowyouneedbuildyourownlanguag,1
edetectionwiththefastTextmodelbyFacebookand,1
Q-6.GenerateresearchpaperstitlesusingBertmodelandcontainerizetheapplicationandpushtopublicdockerhub,1
Q-7.Nowyouneedtobuildyourownchatbotusingtheseq2seqmodelofAmazonwebsitebyscrapethewebsiteandcontainerizetheapplicationandpushtopublicdockerhub,1
Q-8.TakeaanyowndatasetandbuildaknowledgebotusingLlamamodel.,1
Q-9.Usingwisheryouneedtranscribeanyaudiofileandthenyouneedtoconvertthataudiofileintotextfileandnowconvertthattextfileintoaudiofileofdifferentlanguag,1
Q-10.BuildawholeEnd-EndapianddeployitonHeroku/railwayssothetaskisthatyouneedbuildaAuto-CorrectionoftextusingNLPNote:onlyJupyternotebookisnotallowedfrom5thquestion←,1
S,1
b,4
P,2
→,1
There,1
Two,1
Types,1
Questions,1
Theory,1
based,1
Question,1
Project-based,1
(where,1
actually,1
code),1
First,1
"all,",1
You,1
create,2
an,1
Google,1
"doc,",1
where,1
will,1
add,3
answers,1
questions,1
attempting,2
question,2
"code,",1
so,1
repo,3
push,1
your,1
code,1
copy,1
link,3
docs,2
shown,1
g,4
w,2
y,9
>,1
G,1
H,1
p,4
N,1
●,2
I,2
f,4
d,5
j,1
z,1
D,1
theory-based,1
google,1
it's,1
Then,1
submit,1
final,1
(google,1
doc,1
answers),1
